Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,Julius Erving,30,PHI,28,454,690,0.658,82,35.0,24.6,8.0,4.4,2.1,1.8,.521,.222,.787,13.8,.231,ervinju01
2,Larry Bird,24,BOS,20,423,690,0.613,82,39.5,21.2,10.9,5.5,2.0,0.8,.478,.270,.863,10.8,.160,birdla01
3,Kareem Abdul-Jabbar,33,LAL,8,286,690,0.414,80,37.2,26.2,10.3,3.4,0.7,2.9,.574,.000,.766,14.3,.230,abdulka01
4,Moses Malone,25,HOU,8,180,690,0.261,80,40.6,27.8,14.8,1.8,1.0,1.9,.522,.333,.757,13.7,.202,malonmo01
5,George Gervin,28,SAS,1,83,690,0.120,82,33.7,27.1,5.1,3.2,1.1,0.7,.492,.257,.826,10.5,.182,gervige01
6,Marques Johnson,24,MIL,1,73,690,0.106,76,33.4,20.3,6.8,4.6,1.5,0.5,.552,.000,.706,11.2,.211,johnsma01
7,Robert Parish,27,BOS,0,53,690,0.077,82,28.0,18.9,9.5,1.8,1.0,2.6,.545,.000,.710,10.9,.228,parisro01
8,Dennis Johnson,26,PHO,0,50,690,0.072,79,33.1,18.8,4.6,3.7,1.7,0.8,.436,.216,.820,8.4,.154,johnsde01
9,Tiny Archibald,32,BOS,0,32,690,0.046,80,35.3,13.8,2.2,7.7,0.9,0.2,.499,.000,.816,6.9,.118,architi01
10,Jamaal Wilkes,27,LAL,0,19,690,0.028,81,37.4,22.6,5.4,2.9,1.5,0.4,.526,.077,.758,8.5,.135,wilkeja01
11,Magic Johnson,21,LAL,0,18,690,0.026,37,37.1,21.6,8.6,8.6,3.4,0.7,.532,.176,.760,6.4,.225,johnsma02
12T,Adrian Dantley,25,UTA,1,15,690,0.022,80,42.7,30.7,6.4,4.0,1.4,0.2,.559,.286,.806,13.6,.191,dantlad01
12T,Phil Ford,24,KCK,1,15,690,0.022,66,34.7,17.5,1.9,8.8,1.5,0.1,.478,.306,.831,5.2,.110,fordph01
14,Bernard King,24,GSW,0,12,690,0.017,81,36.0,21.9,6.8,3.5,0.9,0.4,.588,.333,.703,9.1,.150,kingbe01
15T,Kelvin Ransey,22,POR,1,11,690,0.016,80,30.4,15.2,2.4,6.9,1.1,0.1,.452,.097,.749,2.8,.056,ranseke01
15T,Jack Sikma,25,SEA,0,11,690,0.016,82,35.6,18.7,10.4,3.0,1.0,1.1,.454,.000,.823,8.0,.132,sikmaja01
17T,Otis Birdsong,25,KCK,0,7,690,0.010,71,36.5,24.6,3.6,3.3,1.3,0.3,.544,.286,.697,8.2,.152,birdsot01
17T,Micheal Ray Richardson,25,NYK,0,7,690,0.010,79,40.2,16.4,6.9,7.9,2.9,0.4,.469,.225,.663,6.9,.104,richami01
19T,Truck Robinson,29,PHO,0,6,690,0.009,82,37.7,18.8,9.6,2.5,0.8,0.5,.505,,.629,7.6,.119,robintr01
19T,Reggie Theus,23,CHI,0,6,690,0.009,82,34.4,18.9,3.5,5.2,1.5,0.2,.495,.200,.809,9.2,.156,theusre01
21,Norm Nixon,25,LAL,0,5,690,0.007,79,37.5,17.1,2.9,8.8,1.8,0.1,.476,.167,.778,5.5,.089,nixonno01
22T,Artis Gilmore,31,CHI,0,4,690,0.006,82,34.5,17.9,10.1,2.1,0.6,2.4,.670,,.705,12.3,.208,gilmoar01
22T,Bob Lanier,32,MIL,0,4,690,0.006,67,26.2,14.3,6.2,2.7,1.1,1.2,.525,1.000,.751,6.8,.185,laniebo01
24T,Michael Cooper,24,LAL,0,3,690,0.004,81,32.4,9.4,4.1,4.1,1.6,1.0,.491,.211,.785,5.0,.092,coopemi01
24T,Walter Davis,26,PHO,0,3,690,0.004,78,28.0,18.0,2.6,3.9,1.2,0.2,.539,.412,.836,7.1,.157,daviswa03
24T,George Johnson,32,SAS,0,3,690,0.004,82,23.6,5.0,7.3,1.1,0.6,3.4,.473,,.734,4.5,.112,johnsge02
24T,Bobby Jones,29,PHI,0,3,690,0.004,81,25.3,13.5,5.4,2.8,1.2,0.9,.539,.000,.813,9.2,.217,jonesbo01
24T,Mike Mitchell,25,CLE,0,3,690,0.004,82,39.0,24.5,6.1,1.7,0.8,0.6,.476,.444,.784,6.0,.091,mitchmi01
24T,James Silas,31,SAS,0,3,690,0.004,75,27.4,17.7,3.1,3.8,0.7,0.2,.477,.000,.850,7.0,.164,silasja01
30T,Quinn Buckner,26,MIL,0,1,690,0.001,82,29.1,13.3,3.6,4.7,2.4,0.0,.493,.167,.734,5.4,.108,bucknqu01
30T,Caldwell Jones,30,PHI,0,1,690,0.001,81,32.6,7.2,10.0,1.5,0.7,1.7,.449,,.767,5.5,.100,jonesca01